Repository Name,Repository_ID,Provider,Consortium,Number of Records,Text,Identifiers,Connections,Contacts,Total,2025-05,Change,,,,
Creative City Design,rhtq.wjpizz,rhtq,qcqq,26,60%,12%,6%,1%,20%,20%,0%,,,,
Journal of Crop Nutrition Science (JCNS),rhtq.zapaoh,rhtq,qcqq,18,60%,11%,6%,1%,20%,20%,0%,,,,
Trends in Phytochemical Research (TPR),rhtq.ztnakl,rhtq,qcqq,35,59%,12%,6%,1%,20%,34%,-14%,,,,
Journal of Aquaculture Development   نشریه توسعه آبزی پروری,rhtq.gqqedk,rhtq,qcqq,85,42%,27%,6%,0%,20%,18%,2%,,,,
Exaltation of Pedagogy and Instruction تعالی تعلیم و تربیت و آموزش,rhtq.syikqg,rhtq,qcqq,69,40%,28%,6%,0%,20%,,,,,,
Applied Nanomaterial and Smart Polymer,rhtq.vbbwun,rhtq,qcqq,23,40%,28%,6%,0%,20%,,,,,,
Journal of Modern Processes in Manufacturing and Production,rhtq.vhjukc,rhtq,qcqq,48,45%,10%,13%,3%,18%,22%,-4%,,,,
Islamic Mysticism   عرفان اسلامی,rhtq.zfimlk,rhtq,qcqq,72,44%,9%,13%,4%,18%,18%,0%,,,,
INNOVAMAT EDUCATION INC,wdsr.innoed,wdsr,qcqq,8,53%,11%,6%,0%,18%,18%,0%,,,,
Radiant MLHub,oin.radiantmlhub,oin,radntco,62,46%,7%,11%,10%,18%,18%,0%,,,,
Source Cooperative,oin.source,oin,radntco,1,47%,6%,11%,10%,18%,,,,,,
Politechnika Warszawska portal zarządzania wiedzą i potencjałem badawczym,maqa.jiptyd,maqa,rlfe,47,60%,39%,17%,40%,38%,38%,0%,,,,
Wroclaw University of Environmental and Life Sciences,egkq.qjyhch,egkq,rlfe,110,59%,39%,16%,30%,36%,35%,1%,,,,
University of Gdańsk,ugpr.jivlqw,ugpr,rlfe,38,58%,43%,17%,20%,35%,31%,4%,,,,
Jagiellonian University Medical College Portal for Management of Knowledge and Scientific Potential,hyfx.gqlzxo,hyfx,rlfe,297,64%,52%,9%,7%,35%,32%,3%,,,,
Wroclaw Medical University,jzwy.zvanig,jzwy,rlfe,32,60%,39%,14%,24%,34%,33%,1%,,,,
Medical University of Lodz,jzwy.jbuwyb,jzwy,rlfe,12,59%,38%,13%,25%,34%,30%,3%,,,,
Medical University of Lublin,jzwy.tsnoan,jzwy,rlfe,2,53%,44%,14%,20%,34%,,,,,,
Medical University of Warsaw,jzwy.ftzwqc,jzwy,rlfe,216,67%,50%,6%,0%,33%,31%,2%,,,,
Pomeranian Medical University in Szczecin,jzwy.rjsebs,jzwy,rlfe,58,55%,48%,11%,9%,32%,31%,1%,,,,
Medical University of Silesia,jzwy.jcysul,jzwy,rlfe,285,62%,39%,11%,10%,32%,30%,2%,,,,
Medical University of Gdańsk,jzwy.ueppge,jzwy,rlfe,42,55%,38%,13%,15%,31%,32%,-1%,,,,
Medical University of Bialystok,jzwy.eeufxt,jzwy,rlfe,43,55%,40%,10%,8%,30%,25%,5%,,,,
Wroclaw University of Economics and Business A knowledge and research potential platform,nsyy.wuebir,nsyy,rlfe,452,51%,37%,13%,7%,28%,28%,0%,,,,
Umeå University / DORIS repository,aaay.eadccn,aaay,sndco,7,86%,65%,16%,10%,47%,43%,3%,,,,
SwedPop,aaay.swedpop,aaay,sndco,3,40%,22%,6%,0%,18%,18%,0%,,,,
KTH Data Repository,ddex.xsafoo,ddex,sndco,16,67%,37%,13%,9%,32%,31%,1%,,,,
Högskolan i Halmstad /  DORIS repository,heol.zcbmov,heol,sndco,4,77%,53%,22%,10%,43%,36%,7%,,,,
UGU - Utvärdering genom uppföljning,iuvp.ugu,iuvp,sndco,40,56%,48%,13%,0%,32%,31%,0%,,,,
NordMedia Network,iuvp.vocgeb,iuvp,sndco,2,57%,42%,14%,5%,31%,30%,1%,,,,
Karlstad University DORIS,kaad.umfgbb,kaad,sndco,3,73%,43%,13%,10%,36%,34%,2%,,,,
MAX IV data repository,mviy.oraxfy,mviy,sndco,6,53%,6%,6%,0%,16%,16%,0%,,,,
Chalmers University of Technology / DORIS repository,ojuo.xranyx,ojuo,sndco,13,78%,62%,24%,10%,46%,39%,7%,,,,
Örebro universitet / DORIS repository,orua.doris,orua,sndco,8,82%,63%,17%,10%,45%,42%,4%,,,,
Stockholm University Dynamica,pgip.su-dynamica,pgip,sndco,2,70%,53%,17%,10%,39%,,,,,,
Stockholms universitet SND-DORIS repositorium,pgip.csxvig,pgip,sndco,54,80%,29%,18%,10%,35%,33%,3%,,,,
Bolin Centre Code Repository,pgip.gitbolin,pgip,sndco,29,40%,6%,6%,0%,13%,13%,0%,,,,
Jönköping University /DORIS repository,pldp.doris,pldp,sndco,7,70%,26%,13%,10%,30%,29%,2%,,,,
Swedish National Seismic Network,snd.snsn,snd,sndco,2,73%,44%,36%,5%,43%,43%,0%,,,,
SciLifeLab Data Repository,snd.bils,snd,sndco,1173,76%,41%,18%,10%,38%,38%,0%,,,,
CHALMERS UNIVERSITY OF TECHNOLOGY,snd.chalmers,snd,sndco,57,72%,36%,23%,6%,36%,37%,-1%,,,,
Swedish Infrastructure for Ecosystem Science,snd.sites,snd,sndco,5,63%,50%,7%,4%,33%,33%,0%,,,,
Swedish National Data Service,snd.snd,snd,sndco,5189,77%,23%,14%,10%,31%,29%,2%,,,,
Stockholm University  Figshare Repository,snd.su,snd,sndco,1908,69%,26%,17%,10%,31%,31%,0%,,,,
Språkbanken Text,snd.sprkb,snd,sndco,1408,60%,38%,11%,9%,31%,28%,3%,,,,
Lantmäteriet,snd.lm,snd,sndco,9,60%,27%,20%,10%,30%,30%,0%,,,,
ICOS Carbon Portal,snd.icos,snd,sndco,855,59%,20%,17%,10%,27%,27%,0%,,,,
NORDICOM books,snd.nordicom,snd,sndco,207,52%,24%,12%,10%,25%,25%,0%,,,,
Analytic Imaging Diagnostics Arena,snd.aida,snd,sndco,27,60%,17%,11%,10%,25%,25%,0%,,,,
Research Institutes of Sweden,snd.rise,snd,sndco,5,47%,30%,8%,0%,23%,23%,0%,,,,
Demographic Data Base,snd.ddb,snd,sndco,53,56%,18%,7%,3%,21%,21%,1%,,,,
Polarforskningssekretariatet,snd.polar,snd,sndco,3,40%,33%,6%,0%,21%,21%,0%,,,,
Centre of Registers Västra Götaland,snd.rc-vg,snd,sndco,66,47%,12%,17%,0%,20%,20%,0%,,,,
Technology Collaboration Programme on Heat Pumping Technologies,snd.hpc,snd,sndco,160,41%,19%,6%,0%,18%,18%,0%,,,,
Swedish Meteorological and Hydrological Institute  open data,snd.smhi,snd,sndco,3,47%,15%,6%,0%,17%,17%,0%,,,,
European Spallation Source,snd.ess,snd,sndco,534,55%,8%,6%,0%,17%,17%,0%,,,,
"DataGuru-LU,  Department of Physical Geography and Ecosystem Science, Lund University",snd.dataguru,snd,sndco,26,43%,12%,6%,0%,16%,16%,0%,,,,
Varieties of Democracy,snd.v-dem,snd,sndco,16,40%,14%,6%,0%,15%,15%,0%,,,,
Quality of Government Institute,snd.qog,snd,sndco,29,40%,9%,6%,0%,14%,14%,0%,,,,
Bolin Centre Database,snd.bolin,snd,sndco,733,40%,0%,6%,0%,12%,12%,0%,,,,
Swedish Polar Research Secretariat / DORIS repository,tzwl.doris,tzwl,sndco,27,74%,21%,18%,10%,31%,28%,4%,,,,
Enskilda Högskolan Stockholm DORIS,uehr.doris,uehr,sndco,1,80%,22%,17%,10%,33%,31%,2%,,,,
Karolinska Institutet / DORIS repository,vkoc.doris,vkoc,sndco,108,77%,38%,17%,10%,37%,33%,4%,,,,
SciLifeLab Serve,wxvm.wuunvi,wxvm,sndco,1,53%,61%,22%,10%,39%,,,,,,
Uppsala universitet /DORIS repository,wxvm.doris,wxvm,sndco,395,73%,34%,13%,10%,34%,32%,1%,,,,
Cifra LLC Journals,cifra.journals,cifra,spbpuco,10000,52%,14%,32%,32%,32%,32%,0%,,,,
Technology and language,spbpu.soctech,spbpu,spbpuco,247,61%,39%,11%,10%,31%,31%,1%,,,,
PROMENERGETIKA,energy.promen,energy,spbpuco,95,66%,33%,11%,0%,29%,29%,0%,,,,
Anti-Corruption Studies and Research,uzscite.prokur,uzscite,spbpuco,1,53%,28%,17%,10%,28%,28%,0%,,,,
Teaching Methodology in Higher Education,spbpuo.tmhe,spbpuo,spbpuco,83,58%,28%,11%,6%,27%,26%,1%,,,,
Technoeconomics,spbpuo.tec,spbpuo,spbpuco,96,52%,32%,11%,9%,27%,27%,0%,,,,
St. Petersburg State Polytechnical University Journal,spbpu.ntv,spbpu,spbpuco,3013,60%,17%,10%,0%,23%,23%,0%,,,,
Magazine of Civil Engineering,spbpu.engstroy,spbpu,spbpuco,807,59%,18%,10%,0%,23%,23%,0%,,,,
Sustainable Development and Engineering Economics,spbpuo.sustainable,spbpuo,spbpuco,82,45%,33%,6%,0%,22%,22%,0%,,,,
ENERGY.JOURNALS,energy.journals,energy,spbpuco,1703,62%,10%,8%,8%,22%,22%,0%,,,,
"Journal ""Construction of Unique Buildings and Structures""",spbpu.unistroy,spbpu,spbpuco,279,50%,23%,7%,0%,21%,22%,0%,,,,
Infolib,uzscite.cac,uzscite,spbpuco,46,47%,24%,6%,0%,20%,,,,,,
AlfaBuild,spbpuo.alfabuild,spbpuo,spbpuco,85,46%,25%,6%,0%,20%,20%,0%,,,,
ENERGETIK,energy.energetik,energy,spbpuco,162,52%,17%,6%,0%,20%,20%,0%,,,,
National repository of research data in engineering,spbpuo.nard,spbpuo,spbpuco,4769,54%,14%,6%,0%,19%,19%,0%,,,,
Information system of scientific journals of Uzbekistan,spbpu.uzscite,spbpu,spbpuco,1791,46%,18%,6%,0%,18%,18%,0%,,,,
DONNAS.REPOSITORY,donnas.repository,donnas,spbpuco,187,60%,6%,6%,0%,18%,18%,0%,,,,
Electronic Library of Peter the Great Polytechnic University,spbpu.elib,spbpu,spbpuco,10000,54%,6%,11%,0%,18%,18%,0%,,,,
ELEKTRICHESKIE-STANTCII,energy.el-stantcii,energy,spbpuco,132,49%,14%,6%,0%,18%,19%,-2%,,,,
IPR MEDIA,spbpu.iprbooks,spbpu,spbpuco,8166,42%,6%,18%,0%,17%,18%,-1%,,,,
_________ _ _________ ______________,spbpu.inprom,spbpu,spbpuco,46,53%,6%,6%,0%,16%,16%,0%,,,,
"Federal State Budgetary Educational Institution of Higher Education ""Yaroslav-the-Wise Novgorod State University""",spbpu.novsu,spbpu,spbpuco,2924,46%,11%,6%,0%,16%,16%,0%,,,,
ИЗДАТЕЛЬСКО-ПОЛИГРАФИЧЕСКАЯ ФИРМА «РЕНОМЕ»,spbpu.renome,spbpu,spbpuco,1141,45%,12%,6%,0%,16%,16%,0%,,,,
Materials Physics and Mechanics,spbpu.mpm,spbpu,spbpuco,791,41%,14%,6%,0%,16%,16%,0%,,,,
Северо-Кавказский ФНАЦ,spbpu.skavfnac,spbpu,spbpuco,855,46%,10%,6%,0%,16%,16%,0%,,,,
Theory of mechanisms and machines,spbpuo.tmm,spbpuo,spbpuco,8,42%,10%,6%,0%,15%,15%,0%,,,,
GIDROTEKHNICHESKOE-STROITELSTVO,energy.gts,energy,spbpuco,110,47%,6%,6%,0%,15%,15%,0%,,,,
"Научно-исследовательский центр ""МашиноСтроение"" (НИЦ МС)",spbpu.srcms,spbpu,spbpuco,3091,41%,3%,6%,0%,12%,13%,0%,,,,
University online library,spbpu.d-media,spbpu,spbpuco,6245,24%,3%,8%,0%,9%,8%,2%,,,,
Quellen- und Editionenportal,mws.qed,mws,subgoeco,1163,73%,33%,17%,10%,34%,33%,2%,,,,
Englisches Seminar der Universität Tübingen,subgoe.utueb-es,subgoe,subgoeco,223,75%,16%,23%,9%,31%,32%,0%,,,,
Textdatenbank und Wörterbuch des Klassischen Maya,subgoe.idiom,subgoe,subgoeco,46,59%,27%,16%,10%,29%,28%,1%,,,,
Institut für die Geschichte der deutschen Juden,subgoe.igdj,subgoe,subgoeco,584,60%,30%,14%,5%,29%,29%,0%,,,,
iMex. México Interdisciplinario / Interdisciplinary Mexico,subgoe.rub,subgoe,subgoeco,299,58%,20%,22%,10%,28%,28%,0%,,,,
perspectivia.net,subgoe.mws,subgoe,subgoeco,382,58%,22%,17%,9%,27%,27%,0%,,,,
MANIFOLD,hab.manifold,hab,subgoeco,163,47%,28%,16%,10%,26%,26%,0%,,,,
AMAD,bisold.amad,bisold,subgoeco,121,60%,22%,10%,9%,26%,25%,0%,,,,
"Offa - Berichte und Mitteilungen zur Urgeschichte, Frühgeschichte und Mittelalterarchäologie",subgoe.offajournal,subgoe,subgoeco,83,45%,22%,16%,10%,24%,24%,0%,,,,
DiGZ. Digitalen Zugang zu Wissen demokratisch gestalten e.V.,wwpx.digz,wwpx,subgoeco,328,52%,20%,11%,10%,24%,24%,0%,,,,
CMO,mws.cmo,mws,subgoeco,495,53%,17%,11%,10%,23%,23%,0%,,,,
ZFDG,hab.zfdg,hab,subgoeco,235,49%,20%,12%,7%,23%,22%,1%,,,,
Leipzig Research Centre Global Dynamics,wwpx.globedata,wwpx,subgoeco,89,55%,16%,12%,0%,22%,22%,0%,,,,
"Leibniz-Institut für Deutsche Sprache (IDS), Mannheim",subgoe.ids,subgoe,subgoeco,391,51%,16%,13%,5%,22%,22%,0%,,,,
HABREPO,hab.repo,hab,subgoeco,1178,53%,9%,16%,6%,22%,22%,0%,,,,
"Jagiellonian University, Institute of Philosophy, Diametros Journal",subgoe.ujagdia,subgoe,subgoeco,702,47%,22%,11%,0%,21%,21%,0%,,,,
"Staats- und Universitätsbibliothek Göttingen, Elektronisches Publizieren (EPU)",subgoe.epu,subgoe,subgoeco,596,46%,12%,17%,6%,21%,21%,0%,,,,
"Global and European Studies Institute (GESI), Universität Leipzig",subgoe.gesi,subgoe,subgoeco,688,45%,17%,14%,0%,20%,20%,0%,,,,
"Arbeitskreis Militärgeschichte - TU Chemnitz, Institut für Europäische Geschichte",subgoe.akm,subgoe,subgoeco,150,50%,20%,6%,0%,20%,19%,0%,,,,
Abteilung Germanistische Linguistik GAU,subgoe.agl,subgoe,subgoeco,1,53%,17%,6%,0%,20%,20%,0%,,,,
Evangelische Arbeitsgemeinschaft Familie (eaf) e.V.,wwpx.eaf,wwpx,subgoeco,3,44%,20%,9%,0%,20%,19%,1%,,,,
FID-GEO SUB,subgoe.fid-geo,subgoe,subgoeco,6583,49%,14%,12%,4.56E-05,20%,19%,1%,,,,
JNA - Institut für Ur- und Frühgeschichte (Universität Kiel),subgoe.jna,subgoe,subgoeco,189,47%,15%,10%,2%,19%,19%,0%,,,,
Digital Research Infrastructure for the Arts and Humanities,subgoe.dariah,subgoe,subgoeco,4624,42%,10%,16%,0%,18%,18%,0%,,,,
Göttingen Research Online,subgoe.gro,subgoe,subgoeco,10000,48%,10%,11%,0%,18%,18%,0%,,,,
Collegium Carolinum,subgoe.caro,subgoe,subgoeco,4278,40%,17%,11%,0%,18%,18%,0%,,,,
"Jagiellonian University, The Polish Journal of Aesthetics",subgoe.ujagpl,subgoe,subgoeco,212,45%,16%,6%,0%,17%,17%,0%,,,,
Leibniz-Institut für Geschichte und Kultur des östlichen Europa (GWZO),subgoe.gwzo,subgoe,subgoeco,54,42%,16%,6%,0%,17%,16%,1%,,,,
The Dynamic Archive - Hochschule für Künste Bremen,subgoe.tda,subgoe,subgoeco,240,48%,11%,6%,0%,17%,17%,0%,,,,
ICI Berlin,subgoe.iciber,subgoe,subgoeco,2637,42%,6%,15%,0%,17%,17%,0%,,,,
Akademie der Wissenschaften zu Göttingen,subgoe.adwgoe,subgoe,subgoeco,2392,40%,10%,11%,0%,16%,16%,0%,,,,
Intranda,gwdgmpg.intranda,gwdgmpg,subgoeco,10000,45%,11%,6%,0%,16%,15%,0%,,,,
Bavarian Studies in History and Culture,subgoe.bshc,subgoe,subgoeco,2,40%,11%,6%,0%,15%,15%,0%,,,,
Klassik Stiftung Weimar,subgoe.kstw,subgoe,subgoeco,645,40%,10%,6%,0%,14%,14%,0%,,,,
Bundesakademie für Kulturelle Bildung Wolfenbüttel e.V.,wwpx.bkb,wwpx,subgoeco,1046,40%,6%,9%,0%,14%,14%,0%,,,,
Histarch - Historische Archäologie (Universität Kiel),subgoe.histarch,subgoe,subgoeco,102,42%,6%,6%,0%,14%,14%,0%,,,,
Discuss Data,subgoe.discussdata,subgoe,subgoeco,345,40%,6%,6%,0%,13%,13%,0%,,,,
Texas A&M University � International Ocean Discovery,tdl.iodp,tdl,tdlco,820,67%,16%,11%,0%,24%,24%,0%,,,,
Texas Digital Library,tdl.tdl,tdl,tdlco,10000,53%,16%,16%,2%,23%,26%,-3%,,,,
Texas A&M University-Corpus Christi,tdl.tamu-cc,tdl,tdlco,98,52%,27%,6%,0%,22%,22%,0%,,,,
Digital Porous Media Portal (DPMP),tdl.digitalrocks,tdl,tdlco,177,48%,16%,10%,3%,20%,20%,0%,,,,
DesignSafe,tdl.tacc,tdl,tdlco,3825,55%,11%,7%,3%,19%,19%,0%,,,,
Texas A&M University Libraries,tdl.tamu,tdl,tdlco,8925,45%,17%,10%,0%,19%,18%,1%,,,,
GRIIDC,tdl.griidc,tdl,tdlco,3727,40%,1.49E-05,8%,0%,12%,12%,0%,,,,
University of Texas Libraries,tdl.utl,tdl,tdlco,10000,34%,4%,6%,0%,11%,11%,0%,,,,
FORS DARIS - Replication material repository,ykdk.zuysqi,ykdk,teyq,20,63%,40%,11%,10%,32%,32%,0%,,,,
FORS Guides,ethz.forsguide,ethz,teyq,27,43%,26%,11%,9%,23%,23%,0%,,,,
FORS SELECTS,ethz.forsselects,ethz,teyq,6,43%,23%,6%,0%,19%,19%,0%,,,,
Swissubase DaSCH,jtcf.soonlp,jtcf,teyq,2,40%,25%,6%,0%,19%,,,,,,
Swissubase UNINE,efuv.lzmpee,efuv,teyq,81,40%,24%,6%,0%,18%,19%,0%,,,,
Old DOIs Unil,pwkb.pgdjam,pwkb,teyq,50,40%,23%,6%,0%,18%,,,,,,
Swissubase FORS,ykdk.kihfhm,ykdk,teyq,2649,45%,17%,7%,0%,18%,18%,0%,,,,
Fors Papers,ethz.forspap,ethz,teyq,46,40%,8%,10%,0%,15%,15%,0%,,,,
Social Change in Switzerland,ethz.social,ethz,teyq,84,41%,9%,8%,0%,15%,15%,0%,,,,
Survey Methods: Insights from the Field,ethz.smif,ethz,teyq,152,39%,7%,8%,0%,14%,14%,0%,,,,
Universität Potsdam - Research Data Repository,gizq.datarepo,gizq,tibco,2,80%,42%,31%,40%,48%,,,,,,
Research Data Centre of the Leibniz Institute of Ecological Urban and Regional Development,mzhu.ioerdata,mzhu,tibco,33,83%,34%,50%,10%,47%,41%,6%,,,,
WueData,ukte.wuedata,ukte,tibco,185,75%,37%,33%,39%,45%,45%,0%,,,,
Refodat,fzct.refodat,fzct,tibco,20,79%,50%,30%,10%,45%,41%,4%,,,,
Botanical Institute (Kiel Herbarium),fnma.xssojy,fnma,tibco,31,60%,67%,17%,30%,44%,44%,0%,,,,
Articulations,vsdn.fqtgep,vsdn,tibco,52,80%,58%,17%,10%,43%,43%,0%,,,,
Deutsches Zentrum für Altersfragen (DZA),wpkl.dcmnwj,wpkl,tibco,119,72%,56%,22%,10%,42%,43%,0%,,,,
RADAR,tib.radar,tib,tibco,2268,76%,28%,29%,28%,40%,38%,2%,,,,
Zusammenhaltsbericht,jkei.sehyfu,jkei,tibco,15,67%,62%,11%,9%,40%,,,,,,
BBSR,yaml.omfkqs,yaml,tibco,145,74%,53%,18%,3%,40%,36%,4%,,,,
GEOMAR Geological Samples,fnma.ytwwww,fnma,tibco,703,60%,45%,22%,24%,38%,39%,-1%,,,,
Technische Hochschule Wildau,dxdt.vuxyfx,dxdt,tibco,708,71%,40%,24%,10%,38%,,,,,,
KonDATA,sqhi.kondata,sqhi,tibco,109,63%,32%,31%,23%,38%,35%,3%,,,,
ISIMIP Repository,bqyj.cqdqzk,bqyj,tibco,172,65%,27%,26%,37%,38%,38%,0%,,,,
G1,oryz.arsuhx,oryz,tibco,24,59%,63%,15%,0%,38%,36%,2%,,,,
Sonderveröffentlichung des Thüringischen Landesamtes für Denkmalpflege und Archäologie,flla.aeryyn,flla,tibco,3,60%,59%,17%,0%,37%,37%,0%,,,,
BICC,asau.bicc,asau,tibco,42,61%,54%,15%,10%,37%,37%,-1%,,,,
Hochschulschriftenserver der Hochschule Pforzheim,uykf.omcqaj,uykf,tibco,10,63%,48%,20%,8%,37%,36%,1%,,,,
Chemisches und Veterinäruntersuchungsamt Stuttgart (CVUA Stuttgart),dxdt.ltrhax,dxdt,tibco,4,60%,40%,24%,18%,36%,33%,3%,,,,
ILS - Institut für Landes- und Stadtentwicklungsforschung gGmbH,qbss.kserpj,qbss,tibco,41,66%,52%,16%,0%,36%,35%,1%,,,,
FDAT,awzy.fednnv,awzy,tibco,423,75%,44%,13%,7%,36%,38%,-1%,,,,
Wissen hoch N,neqc.swncjk,neqc,tibco,214,70%,43%,12%,18%,36%,35%,1%,,,,
G3,oryz.srckkx,oryz,tibco,1,67%,44%,22%,0%,36%,36%,0%,,,,
Leibniz-Institut f�r Angewandte Geophysik im GEOZENTRUM HANNOVER,tib.fis-gp,tib,tibco,6,71%,25%,31%,10%,36%,37%,-1%,,,,
FID move,wuua.vozxlg,wuua,tibco,28,65%,40%,22%,9%,36%,23%,12%,,,,
DAPHNE4NFDI Kiel University,fnma.qimigb,fnma,tibco,63,61%,50%,17%,2%,35%,37%,-2%,,,,
Weimarer Monographien zur Ur- und Frühgeschichte,flla.xavkux,flla,tibco,24,57%,53%,17%,0%,34%,34%,0%,,,,
Bayerisches Forschungsinstitut für Digitale Transformation (bidt),tib.bidt,tib,tibco,34,62%,39%,20%,10%,34%,33%,1%,,,,
Hochschulbibliothek der Westsächsischen Hochschule Zwickau,tib.fhzwickau,tib,tibco,86,62%,41%,20%,8%,34%,33%,1%,,,,
acatech - Deutsche Akademie der Technikwissenschaften,fude.acatech,fude,tibco,132,66%,43%,16%,0%,34%,33%,0%,,,,
OPUS THD,rvhq.opusthd,rvhq,tibco,118,73%,25%,22%,10%,33%,,,,,,
UFZ Publikationsverzeichnis,arfm.ufzpub,arfm,tibco,22,55%,43%,16%,14%,33%,33%,0%,,,,
Federal Institute for Occupational Safety and Health (BAuA),baua.baua,baua,tibco,12,82%,14%,31%,0%,33%,30%,3%,,,,
OPUS Kempten,vrqh.ufsrml,vrqh,tibco,118,73%,23%,22%,10%,33%,32%,1%,,,,
RDSpace@UBT,qndc.rdspace,qndc,tibco,44,67%,28%,22%,10%,33%,33%,0%,,,,
OER@vhb,sbhb.vhboer,sbhb,tibco,54,70%,38%,10%,8%,33%,32%,1%,,,,
Beethoven Portal online,wvfl.tbxtnp,wvfl,tibco,30,47%,55%,11%,10%,33%,33%,0%,,,,
Technische Universität Kaiserslautern,tib.tuk-ub,tib,tibco,779,73%,21%,22%,10%,32%,32%,0%,,,,
contact.​engineering,qvvc.c-engineering,qvvc,tibco,438,65%,39%,11%,10%,32%,31%,1%,,,,
TUdatalib,hlqc.znxeli,hlqc,tibco,731,66%,31%,17%,10%,32%,31%,1%,,,,
Publikationsserver der Hochschule München,vgkk.kqsnxy,vgkk,tibco,23,70%,24%,21%,10%,32%,31%,1%,,,,
FAUdata,jofv.faudata,jofv,tibco,6,53%,51%,10%,5%,32%,33%,-1%,,,,
Brandenburgische Technische Universität Cottbus/Senftenberg,tib.btu,tib,tibco,564,73%,20%,22%,10%,32%,32%,0%,,,,
twillo,wuua.twillo,wuua,tibco,113,67%,34%,12%,10%,32%,32%,0%,,,,
"Fachhochschule Potsdam, Hochschulbibliothek",tib.fhp,tib,tibco,10,73%,19%,22%,9%,32%,32%,0%,,,,
INM,oolr.inmdok,oolr,tibco,53,71%,20%,22%,10%,32%,32%,0%,,,,
Bayerische Akademie der Wissenschaften,tib.badw,tib,tibco,18,67%,38%,10%,6%,32%,30%,1%,,,,
PubData,pvre.aqmlok,pvre,tibco,2220,58%,26%,27%,10%,31%,32%,-1%,,,,
Universität Potsdam,tib.upotsdam,tib,tibco,4875,67%,23%,22%,10%,31%,31%,0%,,,,
OPUS-PHHD,tfmd.esjaky,tfmd,tibco,72,73%,17%,22%,10%,31%,31%,0%,,,,
Publikationsportal des FIR an der RWTH Aachen,uzrj.mmjoqj,uzrj,tibco,13,67%,22%,22%,9%,31%,31%,0%,,,,
BonaRes  Leibniz-Zentrum für Agrarlandschaftsforschung (ZALF) e.V. Datenzentrum Agrarlandschaft,tib.bonares,tib,tibco,281,69%,20%,21%,9%,31%,31%,0%,,,,
Dataverse,bsxh.nrclgk,bsxh,tibco,18,60%,17%,32%,9%,31%,30%,0%,,,,
Biodiversity Exploratories Information System,fzct.bexis,fzct,tibco,55,65%,27%,17%,10%,31%,30%,1%,,,,
Peace Research Institute Frankfurt,jstk.lzdfgc,jstk,tibco,138,61%,38%,10%,8%,31%,30%,0%,,,,
Bibliotheksservice-Zentrum Baden-Wuerttemberg (BSZ),tib.bsz,tib,tibco,2491,71%,17%,22%,10%,30%,30%,0%,,,,
Alt-Thüringen,flla.xowgjs,flla,tibco,19,64%,32%,17%,0%,30%,30%,0%,,,,
DaKS,nbqj.daks,nbqj,tibco,273,60%,35%,11%,9%,30%,33%,-3%,,,,
Zeitschrift für Mathematikdidaktik in Forschung und Praxis,uyzi.zmfp,uyzi,tibco,11,66%,30%,11%,10%,30%,29%,1%,,,,
Bundesanstalt für Materialforschung und -prüfung (BAM),tib.bam,tib,tibco,28,70%,21%,18%,9%,30%,30%,0%,,,,
OPUS Würzburg,tib.ubwue,tib,tibco,3996,66%,18%,22%,10%,30%,30%,0%,,,,
HFTor,kykl.haowsj,kykl,tibco,15,60%,24%,21%,10%,30%,31%,-1%,,,,
BSH Data,fuuo.vxzwmn,fuuo,tibco,3,67%,24%,15%,10%,30%,31%,-2%,,,,
Miscellaneous,ifot.nenbtd,ifot,tibco,1,60%,44%,6%,0%,30%,30%,0%,,,,
Digitale Bibliothek Thüringen- EAH Jena,kxxo.kqmndn,kxxo,tibco,1,60%,28%,17%,10%,30%,,,,,,
OPUS-PHSG,pchj.gvqdhp,pchj,tibco,4,65%,18%,22%,10%,30%,,,,,,
Digitale Bibliothek des BSH,fuuo.xleggg,fuuo,tibco,85,62%,27%,19%,4%,29%,29%,1%,,,,
Publication Server of the Wuppertal Institute,lbcs.vbvlvw,lbcs,tibco,146,66%,17%,22%,10%,29%,29%,0%,,,,
Technische Hochschule Nürnberg Georg Simon Ohm,tib.thn,tib,tibco,170,68%,17%,21%,9%,29%,30%,0%,,,,
Qucosa,ifot.vckvhq,ifot,tibco,112,50%,44%,12%,2%,29%,29%,1%,,,,
OPUS-PHFR,uyzi.opus,uyzi,tibco,66,65%,18%,22%,10%,29%,30%,0%,,,,
OPUS der Technischen Hochschule Augsburg,aeqm.opustha,aeqm,tibco,57,64%,18%,22%,10%,29%,30%,-1%,,,,
OPUS 4,roit.npotjd,roit,tibco,54,63%,19%,22%,10%,29%,29%,0%,,,,
RegionaliaOpen,jejm.regionalia,jejm,tibco,9505,66%,17%,22%,10%,29%,29%,0%,,,,
Universität Hamburg,tib.fdmuh,tib,tibco,10000,63%,35%,11%,1%,29%,30%,-1%,,,,
UFZ Datenrechercheportal,arfm.ufzdrp,arfm,tibco,804,66%,17%,22%,9%,29%,31%,-2%,,,,
REPOSIT,aqap.pvhmon,aqap,tibco,424,64%,25%,15%,10%,29%,29%,0%,,,,
Leibniz-Zentrum für Agrarlandschaftsforschung (ZALF) e. V.,tib.zalf,tib,tibco,449,63%,16%,24%,10%,29%,29%,0%,,,,
TUHH Open Research,tib.tuhh,tib,tibco,7667,60%,28%,16%,9%,29%,31%,-2%,,,,
