Repository Name,Repository_ID,Provider,Consortium,Number of Records,Text,Identifiers,Connections,Contacts,Total,2025-05,Change,,,,
Durham University Research Data Repository,bl.durham,bl,blco,609,64%,24%,34%,8%,34%,34%,0%,,,,
Cambium,ylyl.bndu,ylyl,blco,18,53%,48%,19%,9%,34%,38%,-4%,,,,
SRUC research data repository,mfsz.vknmwy,mfsz,blco,435,73%,31%,17%,10%,34%,34%,0%,,,,
University College London,bl.ucld,bl,blco,2741,73%,28%,17%,10%,33%,33%,0%,,,,
Cardiff University,bl.cardiff,bl,blco,920,75%,27%,20%,4%,33%,34%,-1%,,,,
King's College London,bl.kcl,bl,blco,965,69%,35%,16%,7%,33%,33%,0%,,,,
Infectious Diseases Data Observatory,ylyl.iddo,ylyl,blco,117,66%,23%,22%,20%,33%,32%,1%,,,,
University of Manchester (Figshare),borq.00001-2020,borq,blco,3663,73%,27%,17%,10%,33%,34%,-1%,,,,
RCA Research Repository,otgk.rep1,otgk,blco,14,54%,46%,13%,10%,32%,32%,0%,,,,
University of Northampton Research Explorer,isfl.northampton,isfl,blco,119,58%,25%,26%,17%,32%,32%,0%,,,,
Brunel University London,bl.brunel,bl,blco,754,71%,26%,17%,10%,32%,32%,0%,,,,
ORDA - The University of Sheffield Research Data Catalogue and Repository,bl.shef,bl,blco,4899,71%,25%,18%,10%,32%,32%,0%,,,,
Endangered Wooden Architecture Programme,tnae.rdzfew,tnae,blco,360,67%,28%,17%,10%,31%,32%,0%,,,,
World Happiness Report,ylyl.gcplmm,ylyl,blco,13,57%,50%,8%,0%,31%,31%,0%,,,,
St. George's University of London,bl.sgul,bl,blco,371,71%,24%,17%,10%,31%,31%,0%,,,,
Emptiness,ylyl.emptiness,ylyl,blco,40,68%,32%,11%,11%,31%,31%,0%,,,,
De Montfort University,bl.dmu,bl,blco,964,69%,24%,17%,10%,31%,31%,0%,,,,
Newcastle University,figshare.ncl,figshare,blco,3338,69%,26%,16%,9%,31%,31%,0%,,,,
University of Stirling,bl.stirling,bl,blco,11,56%,43%,10%,5%,30%,36%,-6%,,,,
Health Data Research Global,puzp.sqpdqc,puzp,blco,23,58%,45%,9%,0%,30%,30%,0%,,,,
"Royal Holloway, University of London",bl.rhul,bl,blco,951,69%,22%,17%,10%,30%,30%,0%,,,,
Cranfield Online Research Data,bl.cran,bl,blco,552,67%,24%,15%,10%,30%,30%,-1%,,,,
Aberystwyth Research Portal,bl.aber,bl,blco,104,57%,21%,25%,12%,30%,30%,0%,,,,
LAEL PG,ygyi.vvdldg,ygyi,blco,1,53%,50%,6%,0%,30%,,,,,,
University of Portsmouth,bl.portsmth,bl,blco,216,57%,16%,28%,15%,29%,30%,0%,,,,
Loughborough University Research Repository,bl.lboro,bl,blco,10000,69%,20%,17%,10%,29%,30%,-1%,,,,
Middlesex University,bl.mdx,bl,blco,416,67%,21%,17%,10%,29%,30%,0%,,,,
Nottingham Trent University,bl.ntu,bl,blco,80,55%,46%,6%,0%,29%,29%,0%,,,,
Cefas,bl.cefas,bl,blco,321,60%,32%,13%,4%,29%,27%,2%,,,,
BC Final Reports,ayje.ixxavf,ayje,blco,193,58%,33%,13%,5%,29%,27%,1%,,,,
Liverpool School of Tropical Medicine Archive,faoq.lstm-archive,faoq,blco,74,47%,50%,7%,1%,29%,28%,0%,,,,
British Museum,ytfd.bm,ytfd,blco,21,60%,27%,14%,10%,28%,29%,0%,,,,
University of Huddersfield,bl.huddersfield,bl,blco,25,57%,35%,10%,4%,28%,28%,0%,,,,
AIFdb,qxco.aifdb,qxco,blco,1,53%,33%,11%,10%,28%,,,,,,
Tate Research Repository,ytfd.igmlha,ytfd,blco,4,57%,31%,11%,10%,28%,,,,,,
